Plot_Number,Treatment,Robbing,Florivory,Pollination,Early_Season_Anthocyanins,Late_Season_Anthocyanins,Change_in_Anthocyanins,Early_Season_Condensed_Tannins,Late_Season_Condensed_Tannins,Change_in_Condensed_Tannins,Early_Season_Flower_Redness,Late_Season_Flower_Redness,Change_in_Flower_Redness,Flower_Color_Category,Flower_Spur_Length,Flower_Length,Flower_Lip_Height,Flower_Lip_Width,Flower_Opening_Height,Flower_Opening_Width,Flower_Lip_Area,Flower_Opening_Area,Flower_Size_PC1,Average_CH_Fruits_Per_Day,Mature_CH_Fruits_Per_Day,Average_CL_Fruits_Per_Day,Mature_CL_Fruits_Per_Day,Total_Fruits_Per_Day,Total_Mature_Fruits_Per_Day,Proportion_of_Fruits_CH,Ratio_of_CH_to_CL_Fruits,Average_Seeds_Per_CH_Fruit,Average_Seeds_Per_CL_Fruit,Average_CH_Seed_Mass,Average_CL_Seed_Mass,Average_Percent_Leaf_Damage,Average_Herbivore_Density,Average_Herbivore_Richness,Average_Nectar_Volume,Maximum_Plant_Height,Maximum_Number_of_Nodes,Average_CL_Flowers_Per_Day,Average_Leaf_Area,Pollinators_Per_Hour,Robbers_Per_Hour,Thieves_Per_Hour,Proportion_Flowers_Visited_by_Pollinators,Proportion_Flowers_Visited_by_Robbers,Proportion_Flowers_Visited_by_Thieves,Date_of_First_CH_Flower,Total_CH_Flower_Production,Average_CH_Flowers_Per_Day,Average_Percent_Florivory
133,Pollination,N,N,Y,9.738095238,4.234317343,-5.503777895,NA,43.84937238,NA,61.86022394,NA,NA,red,6.953333333,15.35,8.663333333,13.31,4.015,2.72,122.1922,11.0846,-0.577275297,4,0,0.666666667,0.166666667,4.666666667,0.166666667,0.857142857,6,NA,3,NA,0.0136,1.375,13,5,7.352439024,81.1,21,0,21.37833333,NA,NA,NA,NA,NA,NA,222,191,4.063829787,0
134,RobFlor,Y,Y,N,8.199891068,7.594444444,-0.605446623,NA,104.1666667,NA,2.269458425,1.705139694,0.564318731,yellow,7.596666667,17.48666667,9.783333333,16.88333333,5.03,4.413333333,164.5538667,23.67363333,1.482970887,9.5,0,6,0.333333333,15.5,0.333333333,0.612903226,1.583333333,NA,2,NA,0.0175,10.625,14,5,8.644183865,72.4,22,0.666666667,27.86,NA,NA,NA,NA,NA,NA,211,276,5.872340426,NA
135,Florivory,N,Y,N,10.45833333,4.641025641,-5.817307692,70.40816327,50.47619048,19.93197279,76.45106056,NA,NA,red,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.333333333,0,4.666666667,0.166666667,12,0.166666667,0.611111111,1.571428571,NA,2,NA,0.0116,2.75,2,2,5.231707317,68.2,18,0,21.625,NA,NA,NA,NA,NA,NA,229,132,2.808510638,0
136,Pollination,N,N,Y,0.042016807,3.06372549,3.021708683,60.52631579,53.69791667,6.82839912,65.73468532,NA,NA,red,6.37,11.995,7.32,11.895,3.83,3.455,89.6067,14.3458,-2.118435278,15,0.166666667,5.333333333,0.5,20.33333333,0.666666667,0.737704918,2.8125,4,1.5,0.0107,0.00575,10,12,2,5.625609756,70.8,20,0.666666667,21.77333333,NA,NA,NA,NA,NA,NA,229,182,3.872340426,1
137,Pollination,N,N,Y,25.19736842,8.342749529,-16.85461889,108.5915493,48.65979381,59.93175549,4.254875723,1.419611248,2.835264474,yellow,5.98,19.5,7.56,10.4,5.84,3.96,78.624,23.1264,-1.02860513,4.666666667,0.166666667,6.166666667,0.666666667,10.83333333,0.833333333,0.430769231,0.756756757,NA,1.5,NA,0.00615,1.25,3,2,4.471360518,68.1,22,1.333333333,19.40333333,0,0,2,0,0,0.5,216,101,2.14893617,23
138,PollRob,Y,N,Y,5.969202899,2,-3.969202899,57.65278802,40.88983051,16.76295751,4.623701599,1.627209886,2.996491713,yellow,8.763333333,16.61,6.74,12.265,5.92,4.57,76.435,27.20116667,-0.815253152,13.5,0,8.833333333,0.5,22.33333333,0.5,0.604477612,1.528301887,NA,1.75,NA,0.0078,3.25,3,3,5.346036585,73.2,19,1.333333333,19.18833333,0,0,0,0,0,0,216,154,3.276595745,55
139,Pollination,N,N,Y,NA,6.311619718,NA,62.91338583,27.27272727,35.64065856,7.172855887,NA,NA,yellow,7.73875,18.0025,6.22625,13.1075,5.56375,4.63875,86.82645,25.3205125,-0.734697954,24.5,1.833333333,15.33333333,2.833333333,39.83333333,4.666666667,0.615062762,1.597826087,3.3,1.9,0.01753,0.01251,7.5,0,0,6.302439024,84.3,23,4,21.84833333,0,0,12,0,0,3,191,227,4.829787234,4
140,PollRob,Y,N,Y,8.709677419,1.465517241,-7.244160178,76.08247423,31.01449275,45.06798148,6.863655259,3.568771095,3.294884164,yellow,9.866666667,18.29333333,6.2,10.28666667,5.646666667,4.55,64.0302,26.43383333,-0.799228888,11.16666667,1.333333333,3.666666667,0.833333333,14.83333333,2.166666667,0.752808989,3.045454545,3,1.666666667,0.010675,0.009666667,8.125,3,3,7.006097561,65.5,21,0.333333333,24.37166667,NA,NA,NA,NA,NA,NA,217,164,3.489361702,0
141,PollRobFlor,Y,Y,Y,3.868015414,NA,NA,86.42857143,NA,NA,16.21323635,NA,NA,yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,0,NA,NA,NA,NA,4.375,3,3,NA,73.3,16,2,30.82,NA,NA,NA,NA,NA,NA,201,2,0.055555556,NA
142,Robbing,Y,N,N,8.548177083,20.80985915,12.26168207,120.8784384,34.57711443,86.30132392,34.44788066,57.06111818,-22.61323751,red,9.29,20.44,8.14,12.87666667,6.2,4.966666667,104.4843,30.85366667,1.0988564,14,0.5,3.5,0.666666667,17.5,1.166666667,0.8,4,2.333333333,2.333333333,0.0116,0.012066667,0.125,4,2,8.387288931,81.9,21,1.666666667,26.16,NA,NA,NA,NA,NA,NA,222,224,4.765957447,7
